Date,Open,High,Low,Close,Volume,next_close_is_high,next_close_is_low
31-Mar-17,188.55,190.12,185.55,185.6,23980231,-1,-1
30-Mar-17,189.35,192.15,188.2,189,17279065,0,1
29-Mar-17,191.9,191.9,189.22,190.25,16366596,0,1
28-Mar-17,190,192,188,191.2,21600784,0,1
27-Mar-17,189.75,190.55,187.55,189.95,12319546,1,0
24-Mar-17,190.2,191.87,187.86,191,12362046,0,1
23-Mar-17,187.95,190.35,186.01,189.6,19199245,1,0
22-Mar-17,188,188.75,185.55,185.85,17722411,1,0
21-Mar-17,189.2,190.91,188.45,188.9,21237952,0,1
20-Mar-17,186.8,189.02,186.07,189,14690609,0,1
17-Mar-17,186.6,188.6,186.2,187.35,26531560,1,0
16-Mar-17,190,190.25,186.2,186.9,16689311,1,0
15-Mar-17,188.25,189.85,186.97,189.4,17330922,0,1
14-Mar-17,191.4,191.46,187.99,188.25,14907649,1,0
13-Mar-17,188.45,191.55,187.3,191,21100649,0,1
10-Mar-17,186.25,190.05,185.26,188.8,24980860,1,0
9-Mar-17,187.9,188.15,184.05,186.4,36096719,1,0
8-Mar-17,188.55,189.13,187.3,188.5,20873846,0,1
7-Mar-17,189.9,190.35,186.5,188.95,23394014,0,1
6-Mar-17,188.2,190.35,187.5,190.3,20212410,0,1
3-Mar-17,188.5,188.8,186.85,188.1,17082324,1,0
2-Mar-17,189.35,189.94,187.4,188.8,13185422,0,1
1-Mar-17,188.65,191,187.5,190.15,19256691,0,1
28-Feb-17,189.4,190,187.2,188.15,20830957,1,0
27-Feb-17,191.05,191.75,188.3,189.1,13569814,0,1
24-Feb-17,191.8,192.2,189.1,190,14475568,0,1
23-Feb-17,193,194.6,190.85,191.55,12846702,0,1
22-Feb-17,191,193.8,190.5,193.4,18024628,0,1
21-Feb-17,195.6,195.6,191.35,191.35,23078734,1,0
20-Feb-17,197,197,193.9,194.6,11375449,0,1
17-Feb-17,197.45,197.45,194.85,195.75,13951156,0,1
