Date,next_close_is_high,next_close_is_low,Open,High,Low,Close,Volume,Open_m1,High_m1,Low_m1,Close_m1,Volume_m1,Open_m2,High_m2,Low_m2,Close_m2,Volume_m2
31-Mar-17,,,188.55,190.12,185.55,185.6,23980231,,,,,,,,,,
30-Mar-17,0,1,189.35,192.15,188.2,189,17279065,191.9,191.9,189.22,190.25,16366596,190,192,188,191.2,21600784
29-Mar-17,0,1,191.9,191.9,189.22,190.25,16366596,190,192,188,191.2,21600784,189.75,190.55,187.55,189.95,12319546
28-Mar-17,0,1,190,192,188,191.2,21600784,189.75,190.55,187.55,189.95,12319546,190.2,191.87,187.86,191,12362046
27-Mar-17,1,0,189.75,190.55,187.55,189.95,12319546,190.2,191.87,187.86,191,12362046,187.95,190.35,186.01,189.6,19199245
24-Mar-17,0,1,190.2,191.87,187.86,191,12362046,187.95,190.35,186.01,189.6,19199245,188,188.75,185.55,185.85,17722411
23-Mar-17,1,0,187.95,190.35,186.01,189.6,19199245,188,188.75,185.55,185.85,17722411,189.2,190.91,188.45,188.9,21237952
22-Mar-17,1,0,188,188.75,185.55,185.85,17722411,189.2,190.91,188.45,188.9,21237952,186.8,189.02,186.07,189,14690609
21-Mar-17,0,1,189.2,190.91,188.45,188.9,21237952,186.8,189.02,186.07,189,14690609,186.6,188.6,186.2,187.35,26531560
20-Mar-17,0,1,186.8,189.02,186.07,189,14690609,186.6,188.6,186.2,187.35,26531560,190,190.25,186.2,186.9,16689311
17-Mar-17,1,0,186.6,188.6,186.2,187.35,26531560,190,190.25,186.2,186.9,16689311,188.25,189.85,186.97,189.4,17330922
16-Mar-17,1,0,190,190.25,186.2,186.9,16689311,188.25,189.85,186.97,189.4,17330922,191.4,191.46,187.99,188.25,14907649
15-Mar-17,0,1,188.25,189.85,186.97,189.4,17330922,191.4,191.46,187.99,188.25,14907649,188.45,191.55,187.3,191,21100649
14-Mar-17,1,0,191.4,191.46,187.99,188.25,14907649,188.45,191.55,187.3,191,21100649,186.25,190.05,185.26,188.8,24980860
13-Mar-17,0,1,188.45,191.55,187.3,191,21100649,186.25,190.05,185.26,188.8,24980860,187.9,188.15,184.05,186.4,36096719
10-Mar-17,1,0,186.25,190.05,185.26,188.8,24980860,187.9,188.15,184.05,186.4,36096719,188.55,189.13,187.3,188.5,20873846
